orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 152, maxp = (2360,865), minmaxdif = 152
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 148, maxp = (1466,2068), minmaxdif = 148
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 154, maxp = (568,2164), minmaxdif = 154
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 153, maxp = (2319,1836), minmaxdif = 153
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 151, maxp = (1925,2014), minmaxdif = 151
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 153, maxp = (1925,2014), minmaxdif = 153
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 154, maxp = (2198,1520), minmaxdif = 154
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 147, maxp = (1622,1777), minmaxdif = 147
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 149, maxp = (1019,980), minmaxdif = 149
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 19, max = 4094, maxp = (740,64), minmaxdif = 4075
orig32 thresholded: min = 0, max = 154, maxp = (1925,2014), minmaxdif = 154
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 152, maxp = (1925,2014), minmaxdif = 152
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 149, maxp = (1841,138), minmaxdif = 149
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 150, maxp = (222,2284), minmaxdif = 150
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
orig: min = 19, max = 4094, maxp = (740,64), minmaxdif = 4075
orig32 thresholded: min = 0, max = 154, maxp = (1622,1777), minmaxdif = 154
orig32 medianBlur: min = 0, max = 0, maxp = (0,0), minmaxdif = 0
=>>averaged: min = : min = 0, max = 0, maxp = (0,0), minmaxdif = 0
